row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp2_1_Run53.mzML Peak area,NEG_TJGIp2_3_Run192.mzML Peak area,NEG_TJGIp2_2_Run121.mzML Peak area,
45,157.0365548191853,0.37351087,,,,10,,,,,,,590480.6,153503.52,1608280.9,169622.56,515342.56,918850.2,
213,157.08696038980085,2.5905972,,,,,,,,,,,159542.14,247776.72,98501.49,326115.44,284537.0,238683.66,
342,157.08700238776407,3.2642946,,,,,,,,,,,318869.2,421119.7,232203.8,530097.9,619512.75,495000.1,
372,157.08704830526258,3.4159203,,,,,,,,,,,93999.54,85784.16,59613.797,102649.45,113232.91,149348.84,
1510,158.08215161796718,7.565725,,,,,,,,,,,196948.02,228795.88,216933.92,260550.06,189206.9,377083.97,
258,158.08220192984678,2.809748,,,,94,,,,,,,1.3992656E7,1.6140113E7,1.4843354E7,1.7543424E7,2.0618534E7,1.6326813E7,
233,158.08220941839363,2.7255056,,,,65,,,,,,,8738520.0,1.0356726E7,9436480.0,1.3338005E7,1.5367065E7,1.1514448E7,
193,158.08221930116426,2.3704746,,,,38,,,,,,,1765233.9,1828318.2,1912167.6,2418075.5,2615498.5,1829597.0,
165,158.08223029721276,1.9403104,,,,153,,,,,,,6179436.0,7291374.0,5716461.5,8328440.5,9587224.0,6693415.5,
317,158.11860863442118,3.106411,,,,,,,,,,,151356.58,204352.2,120740.61,267947.06,327443.9,174617.47,
493,158.11868098574487,4.0293193,,,,,,,,,,,15520.44,28303.666,7051.259,61075.934,56512.688,38573.03,
164,159.08549827422826,1.9403104,,,,,,,,,,,156225.27,229939.1,146889.14,304264.4,299098.78,174486.98,
323,159.10266020518586,3.1525288,,,,,,,,,,,44134.027,57385.95,23788.766,74951.914,87386.87,104876.875,
439,159.10268580185874,3.7896092,,,,,,,,,,,152849.64,143360.23,72790.49,105110.03,152591.36,126597.62,
498,159.1027013119395,4.0723696,,,,129,,,,,,,607989.5,814895.4,530114.7,999884.75,1722080.8,707299.7,
329,160.0404034693431,3.1955433,,,,135,,,,,,,1587384.2,1481933.2,940915.6,1580671.4,1661286.6,1477124.0,
